int_rate,total_loans,defaulted_loans,default_rate
18.24,3597,1018,28.3
18.25,15459,4282,27.7
18.29,13,0,0.0
18.3,68,10,14.71
18.36,5,0,0.0
18.39,155,41,26.45
18.43,21,4,19.05
18.45,5588,248,4.44
18.49,4755,1266,26.62
18.53,7,1,14.29
18.54,1735,559,32.22
18.55,5665,1720,30.36
18.61,16,0,0.0
18.62,49,11,22.45
18.64,214,67,31.31
18.67,51,11,21.57
18.72,1,1,100.0
18.75,2280,482,21.14
18.78,7,0,0.0
18.79,106,28,26.42
18.84,1964,630,32.08
18.85,933,192,20.58
18.86,3,0,0.0
18.91,12,3,25.0
18.92,1561,441,28.25
18.94,7859,31,0.39
18.99,19776,4984,25.2
19.03,11227,1334,11.88
19.04,43,15,34.88
19.05,2362,609,25.78
19.13,17,2,11.76
19.16,5,1,20.0
19.19,3556,1207,33.94
19.2,995,225,22.61
19.22,1244,309,24.84
19.24,1478,484,32.75
19.29,120,29,24.17
19.36,34,9,26.47
19.39,4,1,25.0
19.41,32,8,25.0
19.42,5172,252,4.87
19.47,1331,342,25.69
19.48,756,248,32.8
19.52,6613,2012,30.42
19.53,2536,745,29.38
19.66,11,3,27.27
19.69,108,30,27.78
19.72,2029,506,24.94
19.74,30,11,36.67
19.79,25,4,16.0
19.82,8,1,12.5
19.89,646,215,33.28
19.91,144,50,34.72
19.92,7135,30,0.42
19.97,779,205,26.32
19.99,17205,4944,28.74
20.0,8173,969,11.86
20.03,13,4,30.77
20.11,33,8,24.24
20.16,20,3,15.0
20.17,6,1,16.67
20.2,3184,963,30.24
20.25,77,22,28.57
20.3,135,47,34.81
20.31,773,172,22.25
20.39,4546,222,4.88
20.4,4,1,25.0
20.48,22,8,36.36
20.49,3483,1044,29.97
20.5,1418,421,29.69
20.52,4,1,25.0
20.53,20,2,10.0
20.62,59,16,27.12
20.69,3,1,33.33
20.75,2102,667,31.73
20.77,12,2,16.67
20.8,379,99,26.12
20.85,16,2,12.5
20.86,6,1,16.67
20.89,6193,70,1.13
20.9,18,6,33.33
20.99,6656,2316,34.8
21.0,1916,533,27.82
21.14,7,1,14.29
21.15,649,164,25.27
21.18,2745,870,31.69
21.21,7,1,14.29
21.22,7,3,42.86
21.27,16,1,6.25
21.28,74,31,41.89
21.36,45,16,35.56
21.45,8367,1093,13.06
21.48,1108,374,33.75
21.49,6092,1501,24.64
21.59,8,2,25.0
21.6,485,144,29.69
21.64,12,2,16.67
21.67,1118,422,37.75
21.7,612,176,28.76
21.74,31,19,61.29
21.82,2,1,50.0
21.85,4302,250,5.81
21.97,1707,578,33.86
21.98,1087,311,28.61
21.99,3577,1317,36.82
22.06,48,17,35.42
22.11,31,9,29.03
22.15,1598,567,35.48
22.2,489,148,30.27
22.35,5560,232,4.17
22.39,2101,584,27.8
22.4,885,271,30.62
22.45,2363,859,36.35
22.47,809,273,33.75
22.48,16,7,43.75
22.64,1,1,100.0
22.7,389,112,28.79
22.74,4033,892,22.12
22.78,84,28,33.33
22.85,8,4,50.0
22.9,1242,161,12.96
22.91,1575,257,16.32
22.94,2,1,50.0
22.95,737,240,32.56
22.99,2870,1172,40.84
23.1,429,135,31.47
23.13,1517,579,38.17
23.22,9,1,11.11
23.26,46,26,56.52
23.28,616,222,36.04
23.32,417,138,33.09
23.33,47,16,34.04
23.4,3538,244,6.9
23.43,1531,518,33.83
23.5,326,89,27.3
23.52,11,5,45.45
23.59,4,1,25.0
23.63,506,196,38.74
23.7,573,159,27.75
23.76,380,150,39.47
