loan_amnt,total_loans,defaulted_loans,default_rate
29250,217,46,21.2
29275,106,16,15.09
29300,69,7,10.14
29325,202,45,22.28
29350,69,19,27.54
29375,91,12,13.19
29400,389,63,16.2
29425,98,19,19.39
29450,154,29,18.83
29475,91,15,16.48
29500,407,49,12.04
29525,66,9,13.64
29550,85,10,11.76
29575,119,27,22.69
29600,168,15,8.93
29625,80,12,15.0
29650,76,8,10.53
29675,86,20,23.26
29700,450,97,21.56
29725,59,14,23.73
29750,165,34,20.61
29775,102,13,12.75
29800,105,16,15.24
29825,61,9,14.75
29850,206,52,25.24
29875,76,9,11.84
29900,482,121,25.1
29925,72,9,12.5
29950,104,14,13.46
29975,374,82,21.93
30000,61010,6521,10.69
30025,60,12,20.0
30050,42,7,16.67
30075,76,15,19.74
30100,118,23,19.49
30125,66,14,21.21
30150,81,17,20.99
30175,48,8,16.67
30200,59,7,11.86
30225,299,79,26.42
30250,65,12,18.46
30275,44,8,18.18
30300,105,23,21.9
30325,63,11,17.46
30350,80,18,22.5
30375,121,29,23.97
30400,233,43,18.45
30425,39,9,23.08
30450,58,13,22.41
30475,44,6,13.64
30500,278,32,11.51
30525,57,5,8.77
30550,42,11,26.19
30575,58,16,27.59
30600,123,21,17.07
30625,94,19,20.21
30650,53,8,15.09
30675,42,4,9.52
30700,97,13,13.4
30725,49,7,14.29
30750,278,75,26.98
30775,43,9,20.93
30800,521,94,18.04
30825,60,6,10.0
30850,63,8,12.7
30875,68,11,16.18
30900,92,13,14.13
30925,34,5,14.71
30950,61,12,19.67
30975,49,8,16.33
31000,1490,152,10.2
31025,61,11,18.03
31050,74,11,14.86
31075,55,7,12.73
31100,63,12,19.05
31125,43,8,18.6
31150,65,10,15.38
31175,147,30,20.41
31200,764,106,13.87
31225,58,14,24.14
31250,65,7,10.77
31275,83,17,20.48
31300,328,73,22.26
31325,44,6,13.64
31350,68,8,11.76
31375,65,10,15.38
31400,53,8,15.09
31425,54,6,11.11
31450,145,36,24.83
31475,41,6,14.63
31500,690,104,15.07
31525,38,6,15.79
31550,47,12,25.53
31575,123,28,22.76
31600,61,10,16.39
31625,34,6,17.65
31650,49,4,8.16
31675,108,28,25.93
31700,94,20,21.28
31725,63,3,4.76
31750,60,13,21.67
31775,40,5,12.5
31800,99,13,13.13
31825,202,57,28.22
31850,58,10,17.24
31875,36,4,11.11
31900,103,22,21.36
31925,45,4,8.89
31950,60,12,20.0
31975,88,19,21.59
32000,14204,1378,9.7
32025,47,5,10.64
32050,35,6,17.14
32075,44,5,11.36
32100,180,41,22.78
32125,42,6,14.29
32150,73,12,16.44
32175,39,5,12.82
32200,358,64,17.88
32225,110,28,25.45
32250,55,8,14.55
32275,43,10,23.26
32300,70,9,12.86
32325,57,14,24.56
32350,275,67,24.36
32375,36,6,16.67
32400,576,69,11.98
32425,62,6,9.68
32450,51,7,13.73
32475,54,9,16.67
32500,763,120,15.73
32525,34,7,20.59
32550,73,8,10.96
32575,22,1,4.55
32600,43,4,9.3
32625,153,29,18.95
32650,54,12,22.22
32675,73,18,24.66
32700,47,2,4.26
32725,40,8,20.0
32750,149,27,18.12
32775,42,9,21.43
32800,70,11,15.71
32825,39,3,7.69
32850,50,9,18.0
32875,205,33,16.1
32900,61,10,16.39
32925,33,6,18.18
32950,120,26,21.67
32975,44,9,20.45
33000,2573,250,9.72
33025,107,25,23.36
33050,43,10,23.26
33075,47,6,12.77
33100,120,20,16.67
33125,42,7,16.67
33150,72,12,16.67
33175,44,5,11.36
33200,60,7,11.67
33225,63,14,22.22
33250,57,10,17.54
33275,45,6,13.33
33300,95,17,17.89
33325,37,5,13.51
33350,58,4,6.9
33375,55,8,14.55
33400,61,5,8.2
33425,341,64,18.77
33450,39,5,12.82
33475,36,7,19.44
33500,296,39,13.18
33525,39,10,25.64
33550,53,2,3.77
33575,204,48,23.53
33600,1294,198,15.3
33625,48,7,14.58
33650,29,4,13.79
33675,30,5,16.67
33700,86,23,26.74
33725,39,6,15.38
33750,112,19,16.96
33775,34,6,17.65
33800,50,7,14.0
33825,83,17,20.48
33850,43,3,6.98
33875,47,8,17.02
33900,35,3,8.57
33925,52,8,15.38
33950,234,68,29.06
33975,38,4,10.53
34000,1614,149,9.23
34025,98,21,21.43
34050,43,12,27.91
34075,74,10,13.51
34100,98,15,15.31
34125,48,6,12.5
34150,46,5,10.87
34175,35,3,8.57
34200,131,16,12.21
34225,89,13,14.61
34250,51,8,15.69
34275,32,1,3.13
34300,72,20,27.78
34325,38,6,15.79
34350,80,17,21.25
34375,31,5,16.13
34400,51,5,9.8
34425,53,11,20.75
34450,44,4,9.09
34475,244,54,22.13
34500,366,64,17.49
34525,36,7,19.44
34550,154,30,19.48
34575,34,2,5.88
34600,38,1,2.63
34625,82,13,15.85
34650,67,9,13.43
34675,47,5,10.64
34700,38,6,15.79
34725,43,8,18.6
34750,99,17,17.17
34775,41,8,19.51
34800,258,30,11.63
34825,39,3,7.69
34850,47,6,12.77
34875,95,25,26.32
