dti,total_loans,defaulted_loans,default_rate
32.87,271,40,14.76
32.88,380,60,15.79
32.89,275,40,14.55
32.9,332,54,16.27
32.91,339,59,17.4
32.92,302,51,16.89
32.93,366,56,15.3
32.94,276,42,15.22
32.95,254,42,16.54
32.96,351,64,18.23
32.97,280,51,18.21
32.98,322,46,14.29
32.99,275,39,14.18
33.0,352,47,13.35
33.01,301,40,13.29
33.02,289,56,19.38
33.03,332,53,15.96
33.04,311,49,15.76
33.05,289,41,14.19
33.06,307,42,13.68
33.07,289,40,13.84
33.08,294,50,17.01
33.09,378,65,17.2
33.1,268,46,17.16
33.11,208,35,16.83
33.12,385,60,15.58
33.13,303,48,15.84
33.14,274,43,15.69
33.15,351,57,16.24
33.16,300,44,14.67
33.17,324,54,16.67
33.18,321,53,16.51
33.19,241,37,15.35
33.2,373,44,11.8
33.21,247,32,12.96
33.22,305,49,16.07
33.23,349,63,18.05
33.24,276,44,15.94
33.25,303,54,17.82
33.26,275,49,17.82
33.27,305,53,17.38
33.28,304,46,15.13
33.29,298,55,18.46
33.3,271,47,17.34
33.31,312,43,13.78
33.32,300,46,15.33
33.33,326,58,17.79
33.34,231,32,13.85
33.35,248,53,21.37
33.36,340,70,20.59
33.37,275,40,14.55
33.38,315,48,15.24
33.39,313,47,15.02
33.4,319,62,19.44
33.41,283,43,15.19
33.42,285,53,18.6
33.43,265,45,16.98
33.44,323,59,18.27
33.45,290,52,17.93
33.46,304,40,13.16
33.47,279,49,17.56
33.48,282,47,16.67
33.49,297,54,18.18
33.5,307,57,18.57
33.51,312,43,13.78
33.52,292,52,17.81
33.53,252,33,13.1
33.54,294,67,22.79
33.55,249,36,14.46
33.56,281,47,16.73
33.57,308,46,14.94
33.58,289,36,12.46
33.59,162,22,13.58
33.6,469,72,15.35
33.61,238,37,15.55
33.62,246,42,17.07
33.63,305,52,17.05
33.64,304,61,20.07
33.65,311,44,14.15
33.66,291,50,17.18
33.67,268,49,18.28
33.68,309,52,16.83
33.69,301,39,12.96
33.7,310,49,15.81
33.71,313,53,16.93
33.72,241,26,10.79
33.73,322,56,17.39
33.74,270,47,17.41
33.75,307,50,16.29
33.76,303,42,13.86
33.77,264,43,16.29
33.78,312,43,13.78
33.79,245,40,16.33
33.8,346,59,17.05
33.81,306,48,15.69
33.82,281,43,15.3
33.83,272,41,15.07
33.84,332,58,17.47
33.85,287,45,15.68
33.86,260,36,13.85
33.87,275,43,15.64
33.88,289,57,19.72
33.89,297,49,16.5
33.9,276,54,19.57
33.91,243,46,18.93
33.92,310,48,15.48
33.93,277,50,18.05
33.94,291,39,13.4
33.95,301,52,17.28
33.96,253,43,17.0
33.97,294,50,17.01
33.98,267,50,18.73
33.99,306,44,14.38
34.0,321,62,19.31
34.01,224,34,15.18
34.02,301,49,16.28
34.03,324,45,13.89
34.04,299,46,15.38
34.05,320,35,10.94
34.06,252,44,17.46
34.07,236,34,14.41
34.08,349,58,16.62
34.09,260,49,18.85
34.1,271,37,13.65
34.11,305,40,13.11
34.12,265,49,18.49
34.13,314,53,16.88
34.14,230,33,14.35
34.15,249,32,12.85
34.16,297,50,16.84
34.17,273,46,16.85
34.18,255,36,14.12
34.19,232,31,13.36
34.2,324,47,14.51
34.21,271,37,13.65
34.22,265,34,12.83
34.23,309,50,16.18
34.24,285,46,16.14
34.25,264,44,16.67
34.26,283,52,18.37
34.27,291,50,17.18
34.28,304,59,19.41
34.29,305,64,20.98
34.3,281,40,14.23
34.31,243,38,15.64
34.32,321,67,20.87
34.33,268,48,17.91
34.34,236,36,15.25
34.35,290,47,16.21
34.36,287,55,19.16
34.37,252,43,17.06
34.38,263,40,15.21
34.39,175,28,16.0
34.4,379,71,18.73
34.41,246,48,19.51
34.42,282,59,20.92
34.43,283,44,15.55
34.44,285,43,15.09
34.45,283,42,14.84
34.46,254,41,16.14
34.47,262,42,16.03
34.48,283,56,19.79
34.49,237,44,18.57
34.5,289,45,15.57
34.51,255,48,18.82
34.52,255,49,19.22
34.53,309,51,16.5
34.54,223,36,16.14
34.55,258,45,17.44
34.56,307,42,13.68
34.57,253,42,16.6
34.58,236,41,17.37
34.59,256,47,18.36
34.6,291,56,19.24
34.61,248,34,13.71
34.62,280,53,18.93
