dti,total_loans,defaulted_loans,default_rate
39.82,57,13,22.81
39.83,86,18,20.93
39.84,85,12,14.12
39.85,66,9,13.64
39.86,75,17,22.67
39.87,71,10,14.08
39.88,85,12,14.12
39.89,77,17,22.08
39.9,79,12,15.19
39.91,71,10,14.08
39.92,78,14,17.95
39.93,66,12,18.18
39.94,65,8,12.31
39.95,66,9,13.64
39.96,69,10,14.49
39.97,80,9,11.25
39.98,68,5,7.35
39.99,98,18,18.37
40.0,19,1,5.26
40.01,10,0,0.0
40.02,16,3,18.75
40.03,23,2,8.7
40.04,21,0,0.0
40.05,24,4,16.67
40.06,18,2,11.11
40.07,14,1,7.14
40.08,19,1,5.26
40.09,17,3,17.65
40.1,15,0,0.0
40.11,26,5,19.23
40.12,13,0,0.0
40.13,22,3,13.64
40.14,13,0,0.0
40.15,14,2,14.29
40.16,31,1,3.23
40.17,13,0,0.0
40.18,19,0,0.0
40.19,24,2,8.33
40.2,22,3,13.64
40.21,20,2,10.0
40.22,13,1,7.69
40.23,12,1,8.33
40.24,17,1,5.88
40.25,26,1,3.85
40.26,15,1,6.67
40.27,17,2,11.76
40.28,18,1,5.56
40.29,27,4,14.81
40.3,17,2,11.76
40.31,17,3,17.65
40.32,21,3,14.29
40.33,18,1,5.56
40.34,15,5,33.33
40.35,21,1,4.76
40.36,27,2,7.41
40.37,21,4,19.05
40.38,10,1,10.0
40.39,13,0,0.0
40.4,27,3,11.11
40.41,12,0,0.0
40.42,20,0,0.0
40.43,16,4,25.0
40.44,25,3,12.0
40.45,13,1,7.69
40.46,14,1,7.14
40.47,13,2,15.38
40.48,17,2,11.76
40.49,23,1,4.35
40.5,21,2,9.52
40.51,25,3,12.0
40.52,19,1,5.26
40.53,24,4,16.67
40.54,11,1,9.09
40.55,17,1,5.88
40.56,26,3,11.54
40.57,14,1,7.14
40.58,21,3,14.29
40.59,26,2,7.69
40.6,19,3,15.79
40.61,22,1,4.55
40.62,13,0,0.0
40.63,20,4,20.0
40.64,20,4,20.0
40.65,13,2,15.38
40.66,10,0,0.0
40.67,14,2,14.29
40.68,20,1,5.0
40.69,17,2,11.76
40.7,21,2,9.52
40.71,28,6,21.43
40.72,24,2,8.33
40.73,14,2,14.29
40.74,23,2,8.7
40.75,16,2,12.5
40.76,16,3,18.75
40.77,17,2,11.76
40.78,17,1,5.88
40.79,10,2,20.0
40.8,27,3,11.11
40.81,14,1,7.14
40.82,24,3,12.5
40.83,29,3,10.34
40.84,16,2,12.5
40.85,18,6,33.33
40.86,16,1,6.25
40.87,15,0,0.0
40.88,15,3,20.0
40.89,18,1,5.56
40.9,20,2,10.0
40.91,11,2,18.18
40.92,17,4,23.53
40.93,16,0,0.0
40.94,10,0,0.0
40.95,20,2,10.0
40.96,16,2,12.5
40.97,7,1,14.29
40.98,20,1,5.0
40.99,11,1,9.09
41.0,20,4,20.0
41.01,21,0,0.0
41.02,11,0,0.0
41.03,12,1,8.33
41.04,19,2,10.53
41.05,17,0,0.0
41.06,15,1,6.67
41.07,16,0,0.0
41.08,13,1,7.69
41.09,20,2,10.0
41.1,21,2,9.52
41.11,22,2,9.09
41.12,22,2,9.09
41.13,14,0,0.0
41.14,7,2,28.57
41.15,19,3,15.79
41.16,18,4,22.22
41.17,7,1,14.29
41.18,11,0,0.0
41.19,19,1,5.26
41.2,31,3,9.68
41.21,17,2,11.76
41.22,15,2,13.33
41.23,17,1,5.88
41.24,16,1,6.25
41.25,16,0,0.0
41.26,16,2,12.5
41.27,14,0,0.0
41.28,21,3,14.29
41.29,16,1,6.25
41.3,21,0,0.0
41.31,18,1,5.56
41.32,19,2,10.53
41.33,23,3,13.04
41.34,19,5,26.32
41.35,15,0,0.0
41.36,13,0,0.0
41.37,15,1,6.67
41.38,21,1,4.76
41.39,13,2,15.38
41.4,22,5,22.73
41.41,19,1,5.26
41.42,15,3,20.0
41.43,15,0,0.0
41.44,18,1,5.56
41.45,11,1,9.09
41.46,13,1,7.69
41.47,16,3,18.75
41.48,12,0,0.0
41.49,10,3,30.0
41.5,14,0,0.0
41.51,11,1,9.09
41.52,20,0,0.0
41.53,24,3,12.5
41.54,24,1,4.17
41.55,17,1,5.88
41.56,20,2,10.0
41.57,16,1,6.25
41.58,17,2,11.76
41.59,13,0,0.0
41.6,27,1,3.7
41.61,12,1,8.33
41.62,21,5,23.81
41.63,15,2,13.33
41.64,21,0,0.0
41.65,23,0,0.0
41.66,12,1,8.33
41.67,15,0,0.0
41.68,12,0,0.0
41.69,15,0,0.0
41.7,15,1,6.67
41.71,16,2,12.5
41.72,19,1,5.26
41.73,22,0,0.0
41.74,17,3,17.65
41.75,16,3,18.75
41.76,13,0,0.0
41.77,20,2,10.0
41.78,11,0,0.0
41.79,14,3,21.43
41.8,20,1,5.0
41.81,16,2,12.5
41.82,12,2,16.67
41.83,12,2,16.67
41.84,20,1,5.0
41.85,11,1,9.09
41.86,13,0,0.0
41.87,19,3,15.79
41.88,19,0,0.0
41.89,11,4,36.36
41.9,16,1,6.25
41.91,17,0,0.0
41.92,15,1,6.67
41.93,13,0,0.0
41.94,24,2,8.33
41.95,17,3,17.65
41.96,17,2,11.76
41.97,19,1,5.26
41.98,18,1,5.56
41.99,10,0,0.0
42.0,26,3,11.54
42.01,13,1,7.69
42.02,16,1,6.25
42.03,20,0,0.0
42.04,10,0,0.0
42.05,20,1,5.0
42.06,17,4,23.53
42.07,11,0,0.0
42.08,32,5,15.63
42.09,14,2,14.29
42.1,14,0,0.0
42.11,15,3,20.0
42.12,10,3,30.0
42.13,15,3,20.0
42.14,12,1,8.33
42.15,12,2,16.67
42.16,19,2,10.53
42.17,11,0,0.0
42.18,10,1,10.0
42.19,13,1,7.69
42.2,13,1,7.69
42.21,18,2,11.11
42.22,19,0,0.0
42.23,12,0,0.0
42.24,13,1,7.69
42.25,17,2,11.76
42.26,17,1,5.88
42.27,17,0,0.0
42.28,22,1,4.55
42.29,25,3,12.0
42.3,16,0,0.0
42.31,16,0,0.0
42.32,24,5,20.83
42.33,16,3,18.75
42.34,16,3,18.75
42.35,15,3,20.0
42.36,11,1,9.09
42.37,18,0,0.0
42.38,13,1,7.69
42.39,21,3,14.29
42.4,10,1,10.0
42.41,15,0,0.0
42.42,29,2,6.9
42.43,11,0,0.0
42.44,12,1,8.33
42.45,10,2,20.0
42.46,13,1,7.69
42.47,6,2,33.33
42.48,21,0,0.0
42.49,9,2,22.22
42.5,12,0,0.0
42.51,13,2,15.38
42.52,18,1,5.56
42.53,14,1,7.14
42.54,14,2,14.29
42.55,19,1,5.26
42.56,25,2,8.0
42.57,10,0,0.0
42.58,13,1,7.69
42.59,21,3,14.29
42.6,18,2,11.11
42.61,10,0,0.0
42.62,9,0,0.0
42.63,18,0,0.0
42.64,24,3,12.5
42.65,24,0,0.0
42.66,14,0,0.0
42.67,12,1,8.33
42.68,17,3,17.65
42.69,16,2,12.5
42.7,10,0,0.0
42.71,15,1,6.67
42.72,26,6,23.08
42.73,16,1,6.25
42.74,16,2,12.5
42.75,10,2,20.0
42.76,15,2,13.33
42.77,15,3,20.0
42.78,9,2,22.22
42.79,12,2,16.67
42.8,28,4,14.29
42.81,12,0,0.0
42.82,18,1,5.56
42.83,16,1,6.25
42.84,18,0,0.0
42.85,16,2,12.5
42.86,15,0,0.0
42.87,11,2,18.18
42.88,18,1,5.56
42.89,11,2,18.18
42.9,19,3,15.79
42.91,8,1,12.5
42.92,19,1,5.26
42.93,17,1,5.88
42.94,11,2,18.18
42.95,16,3,18.75
42.96,15,1,6.67
42.97,10,1,10.0
42.98,14,3,21.43
42.99,16,0,0.0
43.0,11,3,27.27
43.01,17,0,0.0
43.02,14,1,7.14
43.03,17,0,0.0
43.04,18,0,0.0
43.05,13,2,15.38
43.06,15,3,20.0
43.07,13,0,0.0
43.08,18,2,11.11
43.09,20,1,5.0
43.1,13,0,0.0
43.11,18,1,5.56
43.12,16,0,0.0
43.13,17,2,11.76
43.14,16,1,6.25
43.15,9,1,11.11
43.16,25,1,4.0
43.17,13,2,15.38
43.18,15,1,6.67
43.19,2,1,50.0
43.2,17,1,5.88
43.21,26,2,7.69
43.22,13,0,0.0
43.23,20,0,0.0
43.24,17,5,29.41
43.25,10,1,10.0
43.26,13,0,0.0
43.27,11,1,9.09
43.28,18,1,5.56
43.29,7,0,0.0
43.3,10,1,10.0
43.31,11,1,9.09
43.32,17,1,5.88
43.33,12,3,25.0
43.34,15,3,20.0
43.35,11,0,0.0
43.36,15,1,6.67
43.37,13,3,23.08
43.38,15,0,0.0
43.39,10,3,30.0
43.4,15,3,20.0
43.41,15,1,6.67
43.42,15,2,13.33
43.43,12,2,16.67
43.44,18,0,0.0
43.45,15,2,13.33
43.46,17,1,5.88
43.47,14,0,0.0
43.48,14,2,14.29
43.49,18,3,16.67
43.5,12,0,0.0
43.51,16,1,6.25
43.52,22,2,9.09
43.53,18,2,11.11
43.54,7,0,0.0
43.55,13,2,15.38
43.56,12,1,8.33
43.57,15,1,6.67
43.58,6,1,16.67
43.59,16,0,0.0
43.6,19,1,5.26
43.61,11,1,9.09
43.62,14,2,14.29
43.63,15,3,20.0
43.64,8,0,0.0
43.65,11,0,0.0
43.66,14,1,7.14
43.67,9,2,22.22
43.68,18,2,11.11
43.69,7,1,14.29
43.7,12,0,0.0
43.71,11,0,0.0
43.72,8,1,12.5
43.73,11,0,0.0
43.74,17,6,35.29
43.75,8,1,12.5
43.76,11,0,0.0
43.77,15,2,13.33
43.78,16,3,18.75
43.79,13,2,15.38
43.8,14,0,0.0
43.81,20,1,5.0
43.82,19,2,10.53
43.83,18,1,5.56
43.84,16,0,0.0
43.85,11,0,0.0
43.86,19,2,10.53
43.87,14,0,0.0
43.88,15,1,6.67
43.89,16,3,18.75
43.9,16,3,18.75
43.91,13,2,15.38
43.92,12,0,0.0
43.93,17,2,11.76
43.94,14,1,7.14
43.95,18,0,0.0
43.96,19,4,21.05
43.97,17,2,11.76
43.98,11,2,18.18
43.99,8,0,0.0
44.0,22,2,9.09
44.01,3,1,33.33
44.02,14,1,7.14
44.03,11,3,27.27
44.04,13,3,23.08
44.05,14,1,7.14
44.06,15,2,13.33
44.07,16,4,25.0
44.08,14,1,7.14
44.09,12,1,8.33
44.1,23,0,0.0
44.11,12,0,0.0
44.12,23,1,4.35
44.13,15,1,6.67
44.14,13,1,7.69
44.15,17,1,5.88
44.16,22,4,18.18
44.17,20,3,15.0
44.18,15,1,6.67
44.19,17,3,17.65
44.2,8,0,0.0
44.21,17,1,5.88
44.22,13,1,7.69
44.23,12,2,16.67
44.24,16,3,18.75
44.25,19,0,0.0
44.26,13,2,15.38
44.27,14,2,14.29
44.28,19,1,5.26
44.29,19,2,10.53
44.3,15,2,13.33
44.31,12,3,25.0
44.32,16,1,6.25
44.33,14,1,7.14
44.34,18,3,16.67
44.35,14,3,21.43
44.36,16,0,0.0
44.37,14,2,14.29
44.38,13,1,7.69
44.39,12,0,0.0
44.4,18,3,16.67
44.41,16,3,18.75
44.42,15,2,13.33
44.43,7,1,14.29
44.44,19,4,21.05
44.45,12,1,8.33
44.46,13,1,7.69
44.47,10,0,0.0
44.48,12,1,8.33
44.49,13,1,7.69
44.5,17,0,0.0
44.51,11,1,9.09
44.52,16,1,6.25
44.53,12,0,0.0
44.54,16,0,0.0
44.55,12,0,0.0
44.56,14,4,28.57
44.57,16,2,12.5
44.58,14,1,7.14
44.59,13,0,0.0
44.6,20,1,5.0
44.61,8,2,25.0
44.62,8,0,0.0
44.63,9,2,22.22
44.64,10,2,20.0
44.65,16,1,6.25
44.66,14,1,7.14
44.67,13,3,23.08
44.68,16,1,6.25
44.69,11,1,9.09
44.7,17,0,0.0
44.71,15,0,0.0
44.72,13,1,7.69
44.73,13,0,0.0
44.74,10,0,0.0
44.75,15,1,6.67
44.76,12,0,0.0
44.77,15,2,13.33
44.78,12,1,8.33
44.79,22,2,9.09
44.8,17,1,5.88
44.81,1,0,0.0
44.82,19,3,15.79
44.83,10,1,10.0
44.84,10,3,30.0
44.85,14,1,7.14
44.86,16,2,12.5
44.87,8,1,12.5
44.88,19,4,21.05
44.89,10,0,0.0
44.9,19,2,10.53
44.91,9,0,0.0
44.92,8,2,25.0
44.93,11,1,9.09
44.94,13,1,7.69
44.95,13,2,15.38
44.96,20,2,10.0
44.97,9,0,0.0
44.98,7,2,28.57
44.99,13,0,0.0
45.0,14,2,14.29
45.01,12,2,16.67
45.02,7,0,0.0
45.03,16,0,0.0
45.04,10,0,0.0
45.05,14,0,0.0
45.06,10,0,0.0
45.07,9,0,0.0
45.08,15,2,13.33
45.09,16,3,18.75
45.1,8,0,0.0
45.11,11,1,9.09
45.12,16,2,12.5
45.13,15,1,6.67
45.14,11,2,18.18
45.15,18,1,5.56
45.16,10,1,10.0
45.17,15,0,0.0
45.18,14,3,21.43
45.19,7,1,14.29
45.2,22,1,4.55
45.21,8,1,12.5
45.22,15,1,6.67
45.23,13,0,0.0
45.24,12,1,8.33
45.25,12,3,25.0
45.26,7,0,0.0
45.27,10,0,0.0
45.28,19,3,15.79
45.29,11,1,9.09
45.3,8,0,0.0
45.31,9,2,22.22
45.32,12,3,25.0
45.33,16,0,0.0
45.34,9,0,0.0
45.35,13,3,23.08
45.36,7,0,0.0
45.37,15,0,0.0
45.38,15,0,0.0
45.39,9,0,0.0
45.4,9,2,22.22
45.41,10,1,10.0
45.42,14,0,0.0
45.43,10,1,10.0
45.44,24,5,20.83
45.45,19,2,10.53
45.46,17,0,0.0
45.47,17,4,23.53
45.48,14,1,7.14
45.49,9,1,11.11
45.5,13,1,7.69
45.51,12,2,16.67
45.52,12,1,8.33
45.53,8,1,12.5
45.54,18,1,5.56
45.55,11,0,0.0
45.56,9,1,11.11
45.57,12,2,16.67
45.58,18,0,0.0
45.59,7,1,14.29
45.6,26,6,23.08
45.61,17,3,17.65
45.62,12,0,0.0
45.63,16,0,0.0
45.64,9,0,0.0
45.65,15,0,0.0
45.66,13,2,15.38
45.67,15,0,0.0
45.68,16,0,0.0
45.69,5,1,20.0
45.7,18,1,5.56
45.71,18,0,0.0
45.72,13,2,15.38
45.73,13,1,7.69
45.74,11,1,9.09
45.75,16,2,12.5
45.76,16,5,31.25
45.77,15,2,13.33
45.78,16,1,6.25
45.79,9,1,11.11
45.8,12,3,25.0
45.81,9,0,0.0
45.82,16,3,18.75
45.83,12,1,8.33
45.84,20,3,15.0
45.85,16,5,31.25
45.86,9,1,11.11
45.87,17,0,0.0
45.88,10,1,10.0
45.89,9,2,22.22
45.9,7,2,28.57
45.91,4,0,0.0
45.92,15,1,6.67
45.93,15,3,20.0
45.94,13,0,0.0
45.95,17,2,11.76
45.96,8,1,12.5
45.97,12,0,0.0
45.98,10,0,0.0
45.99,12,0,0.0
46.0,16,0,0.0
46.01,4,0,0.0
46.02,9,1,11.11
46.03,8,0,0.0
46.04,16,1,6.25
46.05,13,0,0.0
46.06,11,0,0.0
46.07,9,1,11.11
46.08,20,3,15.0
46.09,11,1,9.09
46.1,8,0,0.0
46.11,13,2,15.38
46.12,13,1,7.69
46.13,9,0,0.0
46.14,16,2,12.5
46.15,13,2,15.38
46.16,21,0,0.0
46.17,16,0,0.0
46.18,8,0,0.0
46.19,16,2,12.5
46.2,9,1,11.11
46.21,11,1,9.09
46.22,9,0,0.0
46.23,17,2,11.76
46.24,14,1,7.14
46.25,11,1,9.09
46.26,5,0,0.0
46.27,10,0,0.0
46.28,13,1,7.69
46.29,21,2,9.52
46.3,11,2,18.18
46.31,16,2,12.5
46.32,19,0,0.0
46.33,12,3,25.0
46.34,7,1,14.29
46.35,16,1,6.25
46.36,8,2,25.0
46.37,11,1,9.09
46.38,15,1,6.67
46.39,4,1,25.0
46.4,21,3,14.29
46.41,7,2,28.57
46.42,10,0,0.0
46.43,6,0,0.0
46.44,16,2,12.5
46.45,13,1,7.69
46.46,14,2,14.29
46.47,11,2,18.18
46.48,5,0,0.0
46.49,6,0,0.0
46.5,14,1,7.14
46.51,15,1,6.67
46.52,10,1,10.0
46.53,11,1,9.09
46.54,9,1,11.11
46.55,7,0,0.0
46.56,14,1,7.14
46.57,7,0,0.0
46.58,6,0,0.0
46.59,12,1,8.33
46.6,13,0,0.0
46.61,12,1,8.33
46.62,8,0,0.0
46.63,13,1,7.69
46.64,15,0,0.0
46.65,7,0,0.0
46.66,15,1,6.67
46.67,13,2,15.38
46.68,8,1,12.5
46.69,4,0,0.0
46.7,11,0,0.0
46.71,9,2,22.22
46.72,16,2,12.5
46.73,10,0,0.0
46.74,12,2,16.67
46.75,9,2,22.22
46.76,17,1,5.88
46.77,17,3,17.65
46.78,13,1,7.69
46.79,4,0,0.0
46.8,16,3,18.75
46.81,14,2,14.29
46.82,8,0,0.0
46.83,11,0,0.0
46.84,11,0,0.0
46.85,10,1,10.0
46.86,13,2,15.38
46.87,6,0,0.0
46.88,14,0,0.0
46.89,12,3,25.0
46.9,10,0,0.0
46.91,11,0,0.0
46.92,14,2,14.29
46.93,14,1,7.14
46.94,15,1,6.67
46.95,14,2,14.29
46.96,8,2,25.0
46.97,7,0,0.0
46.98,15,3,20.0
46.99,7,0,0.0
47.0,11,1,9.09
47.01,18,2,11.11
47.02,12,0,0.0
47.03,13,1,7.69
47.04,15,0,0.0
47.05,17,1,5.88
47.06,16,0,0.0
47.07,9,0,0.0
47.08,5,0,0.0
47.09,9,0,0.0
47.1,11,1,9.09
47.11,10,1,10.0
47.12,12,0,0.0
47.13,14,0,0.0
47.14,14,2,14.29
47.15,12,1,8.33
47.16,12,1,8.33
47.17,14,0,0.0
47.18,15,1,6.67
47.19,14,0,0.0
47.2,17,0,0.0
47.21,4,0,0.0
47.22,16,0,0.0
47.23,9,0,0.0
47.24,15,0,0.0
47.25,10,1,10.0
47.26,7,2,28.57
47.27,9,3,33.33
47.28,17,3,17.65
47.29,10,1,10.0
47.3,9,1,11.11
47.31,16,1,6.25
47.32,7,0,0.0
47.33,18,2,11.11
47.34,11,2,18.18
47.35,7,0,0.0
47.36,15,0,0.0
47.37,13,2,15.38
47.38,8,0,0.0
47.39,13,1,7.69
47.4,14,1,7.14
47.41,12,1,8.33
47.42,14,1,7.14
47.43,13,3,23.08
47.44,11,1,9.09
47.45,14,1,7.14
47.46,9,3,33.33
47.47,16,0,0.0
47.48,13,2,15.38
47.49,15,0,0.0
47.5,11,2,18.18
47.51,7,0,0.0
47.52,10,0,0.0
47.53,9,1,11.11
47.54,10,0,0.0
47.55,10,0,0.0
47.56,11,0,0.0
47.57,10,1,10.0
47.58,10,0,0.0
47.59,8,1,12.5
47.6,21,3,14.29
47.61,6,0,0.0
47.62,6,2,33.33
47.63,16,1,6.25
47.64,4,1,25.0
47.65,6,0,0.0
47.66,9,0,0.0
47.67,10,0,0.0
47.68,12,1,8.33
47.69,17,0,0.0
47.7,11,1,9.09
47.71,10,2,20.0
47.72,14,0,0.0
47.73,7,0,0.0
47.74,8,0,0.0
47.75,10,0,0.0
47.76,13,0,0.0
47.77,5,1,20.0
47.78,10,1,10.0
47.79,11,0,0.0
47.8,10,1,10.0
47.81,11,1,9.09
47.82,10,0,0.0
47.83,11,1,9.09
47.84,8,0,0.0
47.85,9,0,0.0
47.86,12,3,25.0
47.87,10,1,10.0
47.88,19,1,5.26
47.89,9,1,11.11
47.9,7,1,14.29
47.91,9,1,11.11
47.92,10,0,0.0
47.93,12,0,0.0
47.94,8,1,12.5
47.95,7,0,0.0
47.96,10,2,20.0
47.97,12,1,8.33
47.98,9,2,22.22
47.99,6,0,0.0
48.0,14,1,7.14
48.01,14,0,0.0
48.02,5,0,0.0
48.03,11,1,9.09
48.04,14,2,14.29
48.05,6,0,0.0
48.06,13,2,15.38
48.07,6,0,0.0
48.08,12,2,16.67
48.09,9,1,11.11
48.1,10,1,10.0
48.11,11,1,9.09
48.12,12,2,16.67
48.13,11,3,27.27
48.14,11,1,9.09
48.15,11,2,18.18
48.16,9,0,0.0
48.17,12,1,8.33
48.18,9,2,22.22
48.19,8,0,0.0
48.2,19,4,21.05
48.21,10,0,0.0
48.22,13,1,7.69
48.23,8,1,12.5
48.24,14,0,0.0
48.25,17,0,0.0
48.26,15,1,6.67
48.27,9,1,11.11
48.28,12,1,8.33
48.29,8,1,12.5
48.3,13,0,0.0
48.31,6,0,0.0
48.32,10,0,0.0
48.33,6,2,33.33
48.34,10,2,20.0
48.35,8,1,12.5
48.36,7,2,28.57
48.37,4,1,25.0
48.38,8,0,0.0
48.39,15,2,13.33
48.4,10,0,0.0
48.41,7,2,28.57
48.42,15,4,26.67
48.43,8,1,12.5
48.44,9,0,0.0
48.45,8,0,0.0
48.46,13,2,15.38
48.47,6,1,16.67
48.48,13,0,0.0
48.49,7,0,0.0
48.5,12,2,16.67
48.51,9,0,0.0
48.52,10,1,10.0
48.53,12,2,16.67
48.54,8,0,0.0
48.55,6,0,0.0
48.56,16,1,6.25
48.57,10,2,20.0
48.58,10,1,10.0
48.59,9,2,22.22
48.6,9,0,0.0
48.61,16,2,12.5
48.62,11,1,9.09
48.63,14,1,7.14
48.64,6,0,0.0
48.65,9,0,0.0
48.66,18,0,0.0
48.67,8,1,12.5
48.68,16,2,12.5
48.69,15,0,0.0
48.7,17,2,11.76
48.71,6,2,33.33
48.72,16,1,6.25
48.73,16,2,12.5
48.74,7,0,0.0
48.75,16,1,6.25
48.76,7,0,0.0
48.77,8,1,12.5
48.78,16,2,12.5
48.79,4,0,0.0
48.8,19,2,10.53
48.81,7,0,0.0
48.82,9,0,0.0
48.83,11,0,0.0
48.84,13,2,15.38
48.85,9,1,11.11
48.86,10,0,0.0
48.87,14,0,0.0
48.88,12,1,8.33
48.89,9,0,0.0
48.9,10,3,30.0
48.91,11,1,9.09
48.92,12,1,8.33
48.93,11,0,0.0
48.94,7,0,0.0
48.95,5,2,40.0
48.96,11,3,27.27
48.97,14,0,0.0
48.98,16,0,0.0
48.99,16,0,0.0
49.0,9,2,22.22
49.01,8,1,12.5
49.02,10,0,0.0
49.03,8,2,25.0
49.04,17,1,5.88
49.05,11,2,18.18
49.06,8,1,12.5
49.07,8,3,37.5
49.08,16,1,6.25
49.09,6,0,0.0
49.1,3,0,0.0
49.11,9,0,0.0
49.12,5,0,0.0
49.13,8,0,0.0
49.14,13,1,7.69
49.15,11,1,9.09
49.16,14,4,28.57
49.17,14,1,7.14
49.18,8,1,12.5
49.19,6,1,16.67
49.2,13,2,15.38
49.21,14,4,28.57
49.22,5,0,0.0
49.23,10,2,20.0
49.24,6,1,16.67
49.25,5,0,0.0
49.26,10,0,0.0
49.27,8,1,12.5
49.28,14,2,14.29
49.29,9,0,0.0
49.3,11,1,9.09
49.31,6,0,0.0
49.32,14,0,0.0
49.33,7,0,0.0
49.34,12,0,0.0
49.35,6,1,16.67
49.36,10,2,20.0
49.37,2,0,0.0
49.38,13,1,7.69
49.39,7,0,0.0
49.4,14,3,21.43
49.41,6,1,16.67
49.42,7,0,0.0
49.43,7,0,0.0
49.44,18,1,5.56
49.45,10,2,20.0
49.46,11,0,0.0
49.47,8,1,12.5
49.48,3,0,0.0
49.49,9,0,0.0
49.5,11,0,0.0
49.51,11,1,9.09
49.52,15,1,6.67
49.53,5,1,20.0
49.54,12,0,0.0
49.55,11,1,9.09
49.56,11,1,9.09
49.57,14,3,21.43
49.58,6,0,0.0
49.59,14,1,7.14
49.6,18,0,0.0
49.61,5,1,20.0
49.62,14,1,7.14
49.63,8,2,25.0
49.64,10,1,10.0
49.65,6,2,33.33
49.66,7,1,14.29
49.67,11,0,0.0
49.68,13,0,0.0
49.69,10,0,0.0
49.7,8,1,12.5
49.71,16,0,0.0
49.72,9,1,11.11
49.73,11,1,9.09
49.74,8,0,0.0
49.75,6,0,0.0
49.76,20,1,5.0
49.77,7,0,0.0
49.78,12,0,0.0
49.79,8,1,12.5
49.8,8,1,12.5
49.81,3,0,0.0
49.82,6,0,0.0
49.83,6,0,0.0
49.84,16,1,6.25
49.85,11,2,18.18
49.86,9,1,11.11
49.87,5,1,20.0
49.88,8,0,0.0
49.89,7,1,14.29
49.9,12,1,8.33
49.91,7,1,14.29
49.92,6,2,33.33
49.93,7,1,14.29
49.94,14,0,0.0
49.95,8,0,0.0
49.96,7,1,14.29
49.97,7,0,0.0
49.98,12,0,0.0
49.99,6,0,0.0
50.0,12,2,16.67
50.01,4,0,0.0
50.02,9,0,0.0
50.03,8,0,0.0
50.04,7,0,0.0
50.05,10,1,10.0
50.06,5,1,20.0
50.07,8,0,0.0
50.08,9,0,0.0
50.09,2,0,0.0
50.1,10,0,0.0
50.11,9,0,0.0
50.12,11,1,9.09
50.13,9,0,0.0
50.14,10,0,0.0
50.15,6,2,33.33
50.16,9,0,0.0
50.17,14,0,0.0
50.18,8,0,0.0
50.19,2,0,0.0
50.2,6,0,0.0
50.21,9,0,0.0
50.22,6,0,0.0
50.23,9,0,0.0
50.24,11,0,0.0
50.25,8,0,0.0
50.26,8,0,0.0
50.27,6,0,0.0
50.28,4,0,0.0
50.29,7,1,14.29
50.3,10,1,10.0
50.31,6,1,16.67
50.32,14,1,7.14
50.33,2,0,0.0
50.34,11,3,27.27
50.35,12,0,0.0
50.36,5,1,20.0
50.37,4,0,0.0
50.38,7,0,0.0
50.39,1,0,0.0
50.4,13,0,0.0
50.41,10,2,20.0
50.42,6,1,16.67
50.43,6,0,0.0
50.44,7,1,14.29
50.45,7,0,0.0
50.46,3,0,0.0
50.47,9,0,0.0
50.48,7,0,0.0
50.49,9,0,0.0
50.5,10,0,0.0
50.51,11,0,0.0
50.52,4,1,25.0
50.53,15,0,0.0
50.54,11,1,9.09
50.55,3,0,0.0
50.56,5,0,0.0
50.57,4,0,0.0
50.58,7,1,14.29
50.59,6,0,0.0
50.6,10,0,0.0
50.61,4,0,0.0
50.62,9,0,0.0
50.63,10,0,0.0
50.64,13,1,7.69
50.65,8,0,0.0
50.66,7,0,0.0
50.67,3,0,0.0
50.68,8,0,0.0
50.69,6,1,16.67
50.7,9,1,11.11
50.71,4,0,0.0
50.72,15,0,0.0
50.73,10,1,10.0
50.74,10,0,0.0
50.75,5,0,0.0
50.76,5,0,0.0
50.77,12,1,8.33
50.78,4,2,50.0
50.79,7,0,0.0
50.8,16,2,12.5
50.81,5,0,0.0
50.82,5,1,20.0
50.83,10,0,0.0
50.84,3,0,0.0
50.85,8,0,0.0
50.86,6,1,16.67
50.87,4,1,25.0
50.88,13,0,0.0
50.89,4,0,0.0
50.9,12,0,0.0
50.91,5,0,0.0
50.92,11,0,0.0
50.93,4,1,25.0
50.94,4,0,0.0
50.95,11,2,18.18
50.96,15,2,13.33
50.97,5,0,0.0
50.98,9,0,0.0
50.99,2,0,0.0
51.0,8,1,12.5
51.01,4,0,0.0
51.02,3,0,0.0
51.03,8,0,0.0
51.04,11,0,0.0
51.05,3,1,33.33
51.06,10,0,0.0
51.07,4,0,0.0
51.08,6,1,16.67
51.09,8,0,0.0
51.1,7,0,0.0
51.11,5,0,0.0
51.12,5,0,0.0
51.13,6,1,16.67
51.14,6,0,0.0
51.15,8,0,0.0
51.16,7,0,0.0
51.17,5,0,0.0
51.18,5,0,0.0
51.19,5,0,0.0
51.2,16,1,6.25
51.21,4,0,0.0
51.22,6,0,0.0
51.23,10,0,0.0
51.24,8,0,0.0
51.25,7,2,28.57
51.26,6,0,0.0
51.27,4,0,0.0
51.28,5,0,0.0
51.29,6,0,0.0
51.3,4,1,25.0
51.31,8,0,0.0
51.32,4,0,0.0
51.33,5,1,20.0
51.34,4,0,0.0
51.35,1,0,0.0
51.36,6,1,16.67
51.37,5,0,0.0
51.38,4,0,0.0
51.39,4,0,0.0
51.4,11,0,0.0
51.41,5,0,0.0
51.42,3,0,0.0
51.43,3,0,0.0
51.44,10,0,0.0
51.45,10,4,40.0
